season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2024,NBA,Oklahoma City Thunder,OKC,True,82.0,19805.0,3328.0,7322.0,0.455,1101.0,3052.0,0.361,2227.0,4270.0,0.522,1482.0,1878.0,0.789,968.0,2695.0,3663.0,2207.0,582.0,419.0,1287.0,1548.0,9239.0
2024,NBA,Orlando Magic,ORL,True,82.0,19780.0,3264.0,6884.0,0.474,945.0,2636.0,0.358,2319.0,4248.0,0.546,1419.0,1819.0,0.78,731.0,2537.0,3268.0,1958.0,666.0,379.0,1234.0,1710.0,8892.0
2024,NBA,Philadelphia 76ers,PHI,True,82.0,19780.0,3322.0,7098.0,0.468,979.0,2765.0,0.354,2343.0,4333.0,0.541,1524.0,1926.0,0.791,903.0,2742.0,3645.0,2143.0,506.0,503.0,1201.0,1519.0,9147.0
2024,NBA,Phoenix Suns,PHO,True,82.0,19780.0,3444.0,7428.0,0.464,1074.0,2949.0,0.364,2370.0,4479.0,0.529,1319.0,1705.0,0.774,898.0,2490.0,3388.0,2155.0,685.0,372.0,1043.0,1612.0,9281.0
2024,NBA,Portland Trail Blazers,POR,False,82.0,19880.0,3485.0,7104.0,0.491,957.0,2730.0,0.351,2528.0,4374.0,0.578,1535.0,1938.0,0.792,868.0,2726.0,3594.0,2225.0,729.0,528.0,1173.0,1467.0,9462.0
2024,NBA,Sacramento Kings,SAC,False,82.0,19855.0,3414.0,7114.0,0.48,1074.0,2775.0,0.387,2340.0,4339.0,0.539,1513.0,1892.0,0.8,747.0,2740.0,3487.0,2208.0,606.0,370.0,1139.0,1504.0,9415.0
2024,NBA,San Antonio Spurs,SAS,False,82.0,19830.0,3684.0,7570.0,0.487,1040.0,2791.0,0.373,2644.0,4779.0,0.553,1316.0,1679.0,0.784,860.0,2857.0,3717.0,2296.0,733.0,380.0,1098.0,1470.0,9724.0
2024,NBA,Toronto Raptors,TOR,False,82.0,19805.0,3669.0,7476.0,0.491,1120.0,2979.0,0.376,2549.0,4497.0,0.567,1283.0,1627.0,0.789,919.0,2785.0,3704.0,2346.0,595.0,474.0,1137.0,1487.0,9741.0
2024,NBA,Utah Jazz,UTA,False,82.0,19805.0,3654.0,7509.0,0.487,1213.0,3070.0,0.395,2441.0,4439.0,0.55,1364.0,1768.0,0.771,900.0,2564.0,3464.0,2442.0,704.0,528.0,1009.0,1577.0,9885.0
2024,NBA,Washington Wizards,WAS,False,82.0,19730.0,3777.0,7618.0,0.496,1007.0,2782.0,0.362,2770.0,4836.0,0.573,1528.0,1966.0,0.777,993.0,3020.0,4013.0,2382.0,655.0,496.0,1152.0,1473.0,10089.0
2024,NBA,League Average,,False,82.0,19792.0,3458.0,7290.0,0.474,1053.0,2879.0,0.366,2405.0,4412.0,0.545,1397.0,1781.0,0.784,865.0,2705.0,3570.0,2187.0,613.0,422.0,1116.0,1536.0,9365.0
2023,NBA,Atlanta Hawks,ATL,True,82.0,19855.0,3592.0,7398.0,0.486,979.0,2748.0,0.356,2613.0,4650.0,0.562,1524.0,1899.0,0.803,866.0,2751.0,3617.0,2131.0,616.0,414.0,1162.0,1612.0,9687.0
2023,NBA,Boston Celtics,BOS,True,82.0,19980.0,3425.0,7394.0,0.463,954.0,2763.0,0.345,2471.0,4631.0,0.534,1332.0,1733.0,0.769,799.0,2810.0,3609.0,1895.0,544.0,318.0,1040.0,1568.0,9136.0
2023,NBA,Brooklyn Nets,BRK,True,82.0,19730.0,3360.0,7257.0,0.463,968.0,2640.0,0.367,2392.0,4617.0,0.518,1537.0,2003.0,0.767,943.0,2758.0,3701.0,1916.0,575.0,317.0,1126.0,1517.0,9225.0
2023,NBA,Chicago Bulls,CHI,False,82.0,19905.0,3339.0,7142.0,0.468,1086.0,3042.0,0.357,2253.0,4100.0,0.55,1406.0,1806.0,0.779,791.0,2763.0,3554.0,2131.0,546.0,389.0,1234.0,1537.0,9170.0
2023,NBA,Charlotte Hornets,CHO,False,82.0,19830.0,3522.0,7391.0,0.477,1004.0,2812.0,0.357,2518.0,4579.0,0.55,1562.0,1965.0,0.795,895.0,2892.0,3787.0,2127.0,573.0,471.0,1177.0,1667.0,9610.0
2023,NBA,Cleveland Cavaliers,CLE,True,82.0,19880.0,3201.0,6847.0,0.468,924.0,2508.0,0.368,2277.0,4339.0,0.525,1438.0,1838.0,0.782,801.0,2580.0,3381.0,1888.0,575.0,360.0,1284.0,1675.0,8764.0
