season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2023,NBA,Phoenix Suns,PHO,True,82,19780,40.5,87.0,0.466,11.6,32.5,0.357,28.9,54.6,0.53,20.4,26.0,0.786,10.4,33.1,43.4,23.7,7.3,4.0,14.6,20.1,113.0
2023,NBA,Portland Trail Blazers,POR,False,82,19730,43.5,88.6,0.491,12.7,33.5,0.379,30.8,55.0,0.559,19.2,24.4,0.787,10.6,33.2,43.7,27.3,7.9,4.3,13.7,20.7,118.8
2023,NBA,Sacramento Kings,SAC,True,82,19830,43.3,87.9,0.492,12.3,33.1,0.373,31.0,54.9,0.564,17.9,22.7,0.787,9.6,32.2,41.7,26.4,7.2,4.1,14.1,20.6,116.8
2023,NBA,San Antonio Spurs,SAS,False,82,19855,45.0,88.7,0.507,12.3,31.5,0.391,32.6,57.2,0.571,17.8,23.1,0.77,10.4,33.4,43.9,26.1,7.9,5.1,13.5,18.0,120.0
2023,NBA,Toronto Raptors,TOR,False,82,19805,41.3,84.3,0.491,12.5,33.4,0.374,28.8,50.9,0.567,18.8,23.6,0.797,9.4,33.8,43.3,26.8,6.1,4.7,17.1,20.0,114.0
2023,NBA,Utah Jazz,UTA,False,82,19805,42.9,90.6,0.473,12.3,34.1,0.361,30.5,56.5,0.54,18.6,24.0,0.776,11.1,31.9,43.0,24.7,7.7,4.9,12.4,20.2,116.7
2023,NBA,Washington Wizards,WAS,False,82,19755,42.9,90.8,0.473,12.1,33.1,0.366,30.8,57.6,0.534,17.7,22.1,0.798,10.9,32.6,43.5,25.1,7.2,5.0,12.4,19.6,115.6
2022,NBA,Atlanta Hawks,ATL,True,82,19705,42.8,91.0,0.471,13.1,36.0,0.364,29.7,54.9,0.541,16.1,20.4,0.792,10.4,34.4,44.8,26.0,7.2,4.6,13.0,20.8,114.9
2022,NBA,Boston Celtics,BOS,True,82,19905,39.2,90.1,0.434,12.1,35.7,0.339,27.1,54.4,0.497,16.5,21.1,0.783,10.7,34.0,44.7,22.1,7.7,4.7,14.1,19.9,106.9
2022,NBA,Brooklyn Nets,BRK,True,82,19755,41.0,90.7,0.452,12.6,36.5,0.345,28.4,54.2,0.523,18.3,23.2,0.788,11.4,33.0,44.4,24.0,8.0,4.9,13.3,19.8,112.8
