season,lg,team,abbreviation,playoffs,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
2024,NBA,Oklahoma City Thunder,OKC,True,82.0,19805.0,3653.0,7324.0,0.499,1090.0,2805.0,0.389,2563.0,4519.0,0.567,1451.0,1759.0,0.825,722.0,2725.0,3447.0,2223.0,694.0,538.0,1039.0,1545.0,9847.0
2024,NBA,Orlando Magic,ORL,True,82.0,19780.0,3318.0,6964.0,0.476,903.0,2568.0,0.352,2415.0,4396.0,0.549,1519.0,2002.0,0.759,861.0,2608.0,3469.0,2023.0,669.0,423.0,1206.0,1618.0,9058.0
2024,NBA,Philadelphia 76ers,PHI,True,82.0,19780.0,3404.0,7331.0,0.464,992.0,2733.0,0.363,2412.0,4598.0,0.525,1597.0,1934.0,0.826,906.0,2616.0,3522.0,2041.0,694.0,492.0,984.0,1668.0,9397.0
2024,NBA,Phoenix Suns,PHO,True,82.0,19780.0,3482.0,7063.0,0.493,1020.0,2671.0,0.382,2462.0,4392.0,0.561,1548.0,1915.0,0.808,831.0,2783.0,3614.0,2218.0,610.0,492.0,1221.0,1475.0,9532.0
2024,NBA,Portland Trail Blazers,POR,False,82.0,19880.0,3227.0,7356.0,0.439,939.0,2723.0,0.345,2288.0,4633.0,0.494,1329.0,1680.0,0.791,1036.0,2469.0,3505.0,1894.0,627.0,354.0,1249.0,1654.0,8722.0
2024,NBA,Sacramento Kings,SAC,False,82.0,19855.0,3553.0,7455.0,0.477,1178.0,3219.0,0.366,2375.0,4236.0,0.561,1274.0,1710.0,0.745,888.0,2719.0,3607.0,2324.0,625.0,342.0,1078.0,1632.0,9558.0
2024,NBA,San Antonio Spurs,SAS,False,82.0,19830.0,3438.0,7436.0,0.462,1036.0,2983.0,0.347,2402.0,4453.0,0.539,1280.0,1637.0,0.782,849.0,2778.0,3627.0,2449.0,584.0,520.0,1242.0,1414.0,9192.0
2024,NBA,Toronto Raptors,TOR,False,82.0,19805.0,3466.0,7356.0,0.471,942.0,2712.0,0.347,2524.0,4644.0,0.543,1339.0,1772.0,0.756,891.0,2607.0,3498.0,2335.0,634.0,388.0,1147.0,1509.0,9213.0
2024,NBA,Utah Jazz,UTA,False,82.0,19805.0,3443.0,7371.0,0.467,1060.0,2993.0,0.354,2383.0,4378.0,0.544,1538.0,1853.0,0.83,1002.0,2725.0,3727.0,2232.0,537.0,458.0,1285.0,1523.0,9484.0
2024,NBA,Washington Wizards,WAS,False,82.0,19730.0,3523.0,7493.0,0.47,1015.0,2915.0,0.348,2508.0,4578.0,0.548,1266.0,1657.0,0.764,755.0,2613.0,3368.0,2288.0,623.0,415.0,1147.0,1637.0,9327.0
2024,NBA,League Average,,False,82.0,19792.0,3458.0,7290.0,0.474,1053.0,2879.0,0.366,2405.0,4412.0,0.545,1397.0,1781.0,0.784,865.0,2705.0,3570.0,2187.0,613.0,422.0,1116.0,1536.0,9365.0
2023,NBA,Atlanta Hawks,ATL,True,82.0,19855.0,3658.0,7574.0,0.483,882.0,2505.0,0.352,2776.0,5069.0,0.548,1513.0,1850.0,0.818,920.0,2719.0,3639.0,2049.0,580.0,401.0,1060.0,1541.0,9711.0
2023,NBA,Boston Celtics,BOS,True,82.0,19980.0,3460.0,7278.0,0.475,1315.0,3492.0,0.377,2145.0,3786.0,0.567,1436.0,1769.0,0.812,796.0,2921.0,3717.0,2186.0,521.0,430.0,1095.0,1542.0,9671.0
2023,NBA,Brooklyn Nets,BRK,True,82.0,19730.0,3399.0,6978.0,0.487,1048.0,2771.0,0.378,2351.0,4207.0,0.559,1449.0,1811.0,0.8,674.0,2648.0,3322.0,2093.0,585.0,506.0,1127.0,1730.0,9295.0
2023,NBA,Chicago Bulls,CHI,False,82.0,19905.0,3488.0,7116.0,0.49,854.0,2367.0,0.361,2634.0,4749.0,0.555,1446.0,1788.0,0.809,694.0,2779.0,3473.0,2006.0,644.0,371.0,1097.0,1551.0,9276.0
2023,NBA,Charlotte Hornets,CHO,False,82.0,19830.0,3385.0,7413.0,0.457,881.0,2669.0,0.33,2504.0,4744.0,0.528,1447.0,1933.0,0.749,901.0,2751.0,3652.0,2062.0,634.0,425.0,1164.0,1661.0,9098.0
2023,NBA,Cleveland Cavaliers,CLE,True,82.0,19880.0,3408.0,6984.0,0.488,950.0,2589.0,0.367,2458.0,4395.0,0.559,1439.0,1844.0,0.78,795.0,2574.0,3369.0,2045.0,586.0,384.0,1094.0,1560.0,9205.0
2023,NBA,Dallas Mavericks,DAL,False,82.0,19930.0,3283.0,6909.0,0.475,1246.0,3362.0,0.371,2037.0,3547.0,0.574,1554.0,2057.0,0.755,625.0,2556.0,3181.0,1880.0,514.0,304.0,1002.0,1697.0,9366.0
2023,NBA,Denver Nuggets,DEN,True,82.0,19755.0,3574.0,7088.0,0.504,969.0,2559.0,0.379,2605.0,4529.0,0.575,1378.0,1834.0,0.751,828.0,2699.0,3527.0,2368.0,618.0,368.0,1192.0,1525.0,9495.0
2023,NBA,Detroit Pistons,DET,False,82.0,19805.0,3244.0,7140.0,0.454,934.0,2659.0,0.351,2310.0,4481.0,0.516,1623.0,2106.0,0.771,916.0,2564.0,3480.0,1884.0,574.0,308.0,1237.0,1813.0,9045.0
2023,NBA,Golden State Warriors,GSW,True,82.0,19830.0,3538.0,7393.0,0.479,1363.0,3540.0,0.385,2175.0,3853.0,0.564,1314.0,1655.0,0.794,864.0,2793.0,3657.0,2446.0,588.0,323.0,1336.0,1757.0,9753.0
2023,NBA,Houston Rockets,HOU,False,82.0,19755.0,3329.0,7287.0,0.457,856.0,2619.0,0.327,2473.0,4668.0,0.53,1567.0,2078.0,0.754,1100.0,2695.0,3795.0,1835.0,600.0,374.0,1332.0,1679.0,9081.0
2023,NBA,Indiana Pacers,IND,False,82.0,19755.0,3444.0,7345.0,0.469,1112.0,3030.0,0.367,2332.0,4315.0,0.54,1535.0,1944.0,0.79,832.0,2575.0,3407.0,2213.0,631.0,478.0,1225.0,1741.0,9535.0
2023,NBA,Los Angeles Clippers,LAC,True,82.0,19830.0,3370.0,7059.0,0.477,1041.0,2735.0,0.381,2329.0,4324.0,0.539,1533.0,1962.0,0.781,803.0,2742.0,3545.0,1959.0,580.0,364.0,1167.0,1598.0,9314.0
2023,NBA,Los Angeles Lakers,LAL,True,82.0,19880.0,3516.0,7298.0,0.482,885.0,2558.0,0.346,2631.0,4740.0,0.555,1691.0,2182.0,0.775,818.0,2930.0,3748.0,2072.0,526.0,378.0,1154.0,1466.0,9608.0
2023,NBA,Memphis Grizzlies,MEM,True,82.0,19780.0,3585.0,7551.0,0.475,985.0,2807.0,0.351,2600.0,4744.0,0.548,1432.0,1954.0,0.733,988.0,2835.0,3823.0,2135.0,680.0,473.0,1116.0,1643.0,9587.0
2023,NBA,Miami Heat,MIA,True,82.0,19805.0,3215.0,6991.0,0.46,980.0,2852.0,0.344,2235.0,4139.0,0.54,1567.0,1885.0,0.831,796.0,2533.0,3329.0,1955.0,655.0,243.0,1106.0,1516.0,8977.0
