season,lg,player,player_id,age,team,pos,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
2024,NBA,Dalano Banton,bantoda01,24,BOS,PG,24,1,171,38.0,54.0,8.0,0.0,0.0,4.5,-7.0,6,1,11,3,10,1.0,46,2,3
2024,NBA,Dalano Banton,bantoda01,24,POR,PG,30,8,876,42.0,58.0,0.0,0.0,0.0,-14.3,-6.2,41,18,29,5,48,0.0,260,11,32
2024,NBA,Dominick Barlow,barlodo01,20,SAS,PF,33,1,420,0.0,0.0,2.0,21.0,78.0,-4.7,1.8,5,0,30,3,18,2.0,85,2,8
2024,NBA,Harrison Barnes,barneha02,31,SAC,PF,82,82,2381,0.0,0.0,10.0,90.0,1.0,-1.8,-7.8,23,23,60,5,86,12.0,238,19,27
2024,NBA,Scottie Barnes,barnesc01,22,TOR,SG,60,60,2094,0.0,31.0,33.0,33.0,2.0,-3.1,7.0,104,31,40,16,111,16.0,865,30,48
2024,NBA,RJ Barrett,barrerj01,23,2TM,SG,58,58,1838,0.0,9.0,69.0,22.0,0.0,-3.3,-1.8,64,33,67,14,152,8.0,472,30,90
2024,NBA,RJ Barrett,barrerj01,23,NYK,SG,26,26,766,0.0,3.0,96.0,1.0,0.0,-0.3,-6.4,20,14,26,4,64,3.0,154,8,41
2024,NBA,RJ Barrett,barrerj01,23,TOR,SG,32,32,1072,0.0,14.0,49.0,36.0,1.0,-5.4,1.5,44,19,41,10,88,5.0,318,22,49
2024,NBA,Charles Bassey,bassech01,23,SAS,C,19,0,205,0.0,0.0,0.0,37.0,63.0,-10.5,-4.4,10,2,20,2,3,0.0,52,2,1
2024,NBA,Emoni Bates,batesem01,20,CLE,SF,15,0,133,5.0,31.0,63.0,1.0,0.0,-32.3,-36.1,4,4,4,0,2,2.0,25,0,3
2024,NBA,Keita Bates-Diop,bateske01,28,2TM,SF,53,8,665,0.0,10.0,47.0,42.0,1.0,-4.3,-7.9,4,7,23,1,21,0.0,92,8,16
2024,NBA,Keita Bates-Diop,bateske01,28,PHO,SF,39,8,597,0.0,3.0,50.0,47.0,1.0,-3.4,-7.8,4,6,22,0,18,0.0,83,8,15
2024,NBA,Keita Bates-Diop,bateske01,28,BRK,SF,14,0,68,0.0,76.0,22.0,2.0,0.0,-12.0,-9.2,0,1,1,1,3,0.0,9,0,1
2024,NBA,Nicolas Batum,batumni01,35,2TM,PF,60,38,1529,0.0,0.0,0.0,89.0,11.0,5.7,4.3,31,5,44,2,8,2.0,290,1,2
2024,NBA,Nicolas Batum,batumni01,35,LAC,PF,3,0,54,0.0,0.0,0.0,68.0,32.0,-1.9,-5.6,1,0,0,0,0,0.0,13,0,0
2024,NBA,Nicolas Batum,batumni01,35,PHI,PF,57,38,1475,0.0,0.0,0.0,90.0,10.0,5.9,4.7,30,5,44,2,8,2.0,277,1,2
2024,NBA,Darius Bazley,bazleda01,23,2TM,PF,9,0,152,0.0,0.0,24.0,71.0,5.0,-8.4,-4.2,3,4,2,0,6,0.0,19,2,4
2024,NBA,Darius Bazley,bazleda01,23,PHI,PF,3,0,10,0.0,0.0,0.0,66.0,34.0,-5.9,-8.9,1,0,0,0,0,0.0,5,0,1
2024,NBA,Darius Bazley,bazleda01,23,UTA,PF,6,0,142,0.0,0.0,25.0,71.0,3.0,-8.6,-3.8,2,4,2,0,6,0.0,14,2,3
2024,NBA,Bradley Beal,bealbr01,30,PHO,SG,53,53,1767,2.0,35.0,60.0,4.0,0.0,3.2,0.0,67,33,70,14,65,13.0,643,13,37
2024,NBA,Malik Beasley,beaslma01,27,MIL,SG,79,77,2337,9.0,87.0,5.0,0.0,0.0,6.5,9.2,26,18,75,1,11,7.0,264,3,27
2024,NBA,MarJon Beauchamp,beaucma01,23,MIL,SF,48,1,608,0.0,21.0,69.0,10.0,0.0,-0.9,-4.3,11,10,28,1,14,1.0,72,1,17
2024,NBA,Jules Bernard,bernaju01,24,WAS,SG,19,0,149,2.0,63.0,36.0,0.0,0.0,4.7,14.5,3,3,8,1,6,2.0,39,3,2
2024,NBA,Dāvis Bertāns,bertada01,31,2TM,PF,43,1,674,0.0,0.0,12.0,54.0,35.0,-7.6,0.7,9,3,24,5,11,5.0,83,2,8
2024,NBA,Dāvis Bertāns,bertada01,31,OKC,PF,15,0,91,0.0,0.0,11.0,68.0,21.0,5.5,-2.5,0,0,6,1,5,1.0,22,0,1
2024,NBA,Dāvis Bertāns,bertada01,31,CHO,PF,28,1,583,0.0,0.0,12.0,52.0,37.0,-9.6,1.2,9,3,18,4,6,4.0,61,2,7
2024,NBA,Patrick Beverley,beverpa01,35,2TM,PG,73,13,1462,100.0,0.0,0.0,0.0,0.0,-0.6,-4.3,45,10,55,1,32,16.0,509,9,14
2024,NBA,Patrick Beverley,beverpa01,35,PHI,PG,47,5,919,100.0,0.0,0.0,0.0,0.0,0.3,-3.5,32,8,41,1,23,10.0,340,7,8
2024,NBA,Patrick Beverley,beverpa01,35,MIL,PG,26,8,543,100.0,0.0,0.0,0.0,0.0,-2.1,-5.6,13,2,14,0,9,6.0,169,2,6
2024,NBA,Saddiq Bey,beysa01,24,ATL,SF,63,51,2062,0.0,1.0,70.0,29.0,0.0,-1.0,2.6,20,10,39,2,108,3.0,222,27,49
2024,NBA,Goga Bitadze,bitadgo01,24,ORL,C,62,33,957,0.0,0.0,0.0,0.0,100.0,0.3,-1.9,20,6,49,12,35,1.0,188,10,16
2024,NBA,Onuralp Bitim,bitimon01,24,CHI,SG,23,1,268,0.0,19.0,66.0,15.0,0.0,-6.9,-5.9,6,1,17,1,1,2.0,31,1,5
2024,NBA,Bismack Biyombo,biyombi01,31,2TM,C,40,27,791,0.0,0.0,0.0,59.0,41.0,-3.6,2.9,14,9,45,13,16,4.0,129,4,13
2024,NBA,Bismack Biyombo,biyombi01,31,MEM,C,30,27,718,0.0,0.0,0.0,60.0,40.0,-4.2,3.8,12,8,41,12,13,4.0,124,4,11
2024,NBA,Bismack Biyombo,biyombi01,31,OKC,C,10,0,73,0.0,0.0,0.0,45.0,55.0,1.4,-6.6,2,1,4,1,3,0.0,5,0,2
2024,NBA,Anthony Black,blackan01,20,ORL,PG,69,33,1164,68.0,30.0,2.0,0.0,0.0,-1.3,-4.4,40,7,65,1,33,19.0,219,8,16
2024,NBA,Leaky Black,blackle01,24,CHO,SF,26,3,284,0.0,0.0,45.0,54.0,0.0,-6.3,4.6,3,1,9,2,5,2.0,61,1,5
2024,NBA,Buddy Boeheim,boehebu01,24,DET,SF,10,0,84,0.0,7.0,71.0,22.0,0.0,15.1,24.5,0,0,3,0,3,0.0,7,0,1
2024,NBA,Bogdan Bogdanović,bogdabo01,31,ATL,SG,79,33,2401,0.0,51.0,47.0,2.0,0.0,1.9,10.3,65,30,94,9,68,7.0,585,13,51
2024,NBA,Bojan Bogdanović,bogdabo02,34,2TM,PF,57,27,1478,0.0,1.0,35.0,63.0,1.0,-11.6,-9.5,58,29,52,6,63,5.0,237,13,45
2024,NBA,Bojan Bogdanović,bogdabo02,34,DET,PF,28,27,921,0.0,0.0,40.0,59.0,1.0,-13.5,-6.1,43,16,28,1,44,4.0,170,10,29
2024,NBA,Bojan Bogdanović,bogdabo02,34,NYK,SF,29,0,557,0.0,1.0,28.0,70.0,0.0,-8.4,-15.3,15,13,24,5,19,1.0,67,3,16
2024,NBA,Bol Bol,bolbo01,24,PHO,PF,43,0,469,0.0,0.0,1.0,79.0,20.0,2.7,-0.7,7,8,29,0,9,0.0,41,5,3
2024,NBA,Marques Bolden,boldema01,25,2TM,C,11,2,121,0.0,0.0,0.0,0.0,100.0,-6.6,3.7,0,0,7,2,1,0.0,11,0,0
2024,NBA,Marques Bolden,boldema01,25,MIL,C,2,0,3,0.0,0.0,0.0,0.0,100.0,145.2,142.6,0,0,1,0,0,0.0,0,0,0
2024,NBA,Marques Bolden,boldema01,25,CHO,C,9,2,118,0.0,0.0,0.0,0.0,100.0,-10.4,0.2,0,0,6,2,1,0.0,11,0,0
2024,NBA,Devin Booker,bookede01,27,PHO,PG,68,68,2447,91.0,10.0,0.0,0.0,0.0,5.7,6.4,102,50,88,17,174,14.0,1168,39,48
2024,NBA,Brandon Boston Jr.,bostobr01,22,LAC,SF,32,0,345,2.0,46.0,43.0,7.0,2.0,-15.2,-20.6,4,11,26,4,14,3.0,29,1,13
2024,NBA,Chris Boucher,bouchch01,31,TOR,PF,50,0,705,0.0,0.0,12.0,55.0,34.0,2.8,11.2,6,11,46,4,50,12.0,53,12,14
2024,NBA,James Bouknight,bouknja01,23,CHO,SG,14,0,81,0.0,72.0,28.0,0.0,0.0,-10.5,0.1,2,0,3,0,1,0.0,14,0,2
2024,NBA,Jamaree Bouyea,bouyeja01,24,2TM,PG,9,0,95,95.0,5.0,0.0,0.0,0.0,-8.0,0.1,4,3,7,1,0,1.0,29,0,2
2024,NBA,Jamaree Bouyea,bouyeja01,24,POR,PG,6,0,57,100.0,0.0,0.0,0.0,0.0,-20.6,-11.4,4,2,1,1,0,1.0,21,0,2
2024,NBA,Jamaree Bouyea,bouyeja01,24,SAS,PG,3,0,38,87.0,13.0,0.0,0.0,0.0,10.8,17.3,0,1,6,0,0,0.0,8,0,0
2024,NBA,Malaki Branham,branhma01,20,SAS,PG,75,29,1594,62.0,36.0,2.0,0.0,0.0,-10.7,-7.3,62,24,49,2,30,15.0,377,9,41
2024,NBA,Christian Braun,braunch01,22,DEN,SG,82,4,1655,1.0,41.0,57.0,1.0,0.0,1.2,-7.5,20,15,70,13,67,4.0,315,14,46
2024,NBA,Mikal Bridges,bridgmi01,27,BRK,SF,82,82,2854,1.0,28.0,50.0,20.0,1.0,-3.6,-2.2,82,60,55,6,127,23.0,748,30,54
2024,NBA,Miles Bridges,bridgmi02,25,CHO,SF,69,67,2581,0.0,24.0,61.0,15.0,0.0,-12.0,-3.9,69,49,67,9,111,9.0,574,40,64
2024,NBA,Oshae Brissett,brissos01,25,BOS,SF,55,1,630,0.0,15.0,56.0,29.0,1.0,10.4,-1.0,8,7,29,2,40,0.0,116,6,9
2024,NBA,Izaiah Brockington,brockiz01,24,NOP,PG,1,0,3,100.0,0.0,0.0,0.0,0.0,21.4,16.8,0,0,0,0,0,0.0,0,0,1
2024,NBA,Malcolm Brogdon,brogdma01,31,POR,PG,39,25,1121,61.0,39.0,0.0,0.0,0.0,-3.6,8.0,34,17,32,4,50,8.0,517,12,29
2024,NBA,Armoni Brooks,brookar01,25,BRK,PG,10,0,104,72.0,28.0,0.0,0.0,0.0,11.0,14.4,3,0,1,0,1,0.0,10,1,4
2024,NBA,Dillon Brooks,brookdi01,28,HOU,SF,72,72,2227,1.0,17.0,73.0,9.0,0.0,-0.1,-2.9,41,29,124,10,69,23.0,285,11,31
2024,NBA,Bruce Brown,brownbr01,27,2TM,SG,67,44,1866,17.0,78.0,5.0,0.0,0.0,-5.6,-5.3,36,32,77,7,68,1.0,456,20,41
2024,NBA,Bruce Brown,brownbr01,27,IND,SG,33,33,981,2.0,91.0,7.0,0.0,0.0,3.5,0.7,14,18,42,3,38,1.0,242,11,20
2024,NBA,Bruce Brown,brownbr01,27,TOR,PG,34,11,885,34.0,63.0,4.0,0.0,0.0,-15.8,-12.1,22,14,35,4,30,0.0,214,9,21
2024,NBA,Charlie Brown Jr.,brownch02,26,NYK,SG,8,0,37,0.0,41.0,55.0,5.0,0.0,-13.0,-18.0,1,0,3,0,0,1.0,0,0,1
2024,NBA,Greg Brown III,browngr01,22,DAL,PF,6,0,40,0.0,0.0,59.0,35.0,7.0,-7.5,-9.7,2,1,3,1,4,0.0,8,1,1
2024,NBA,Jaylen Brown,brownja02,27,BOS,SF,70,70,2343,1.0,30.0,68.0,2.0,0.0,8.2,-7.7,64,61,74,27,156,10.0,619,46,72
2024,NBA,Kendall Brown,brownke03,20,IND,SG,15,0,63,9.0,58.0,30.0,3.0,0.0,-19.2,-22.5,1,0,5,1,4,1.0,11,0,0
2024,NBA,Kobe Brown,brownko01,24,LAC,PF,44,0,394,0.0,0.0,1.0,89.0,10.0,-9.2,-14.3,3,3,29,2,1,1.0,61,0,6
2024,NBA,Moses Brown,brownmo01,24,POR,C,22,5,200,0.0,0.0,0.0,0.0,100.0,-17.1,-8.1,3,4,20,2,16,0.0,14,3,12
2024,NBA,Troy Brown Jr.,browntr01,24,2TM,SF,59,15,827,0.0,18.0,63.0,19.0,0.0,-7.2,-6.6,19,6,27,3,12,2.0,146,1,15
2024,NBA,Troy Brown Jr.,browntr01,24,MIN,SF,37,3,410,0.0,36.0,55.0,8.0,1.0,0.5,-6.7,12,2,17,2,5,2.0,84,0,2
2024,NBA,Troy Brown Jr.,browntr01,24,DET,SF,22,12,417,0.0,0.0,70.0,30.0,0.0,-14.7,-6.6,7,4,10,1,7,0.0,62,1,13
2024,NBA,Jalen Brunson,brunsja01,27,NYK,PG,77,77,2726,100.0,0.0,0.0,0.0,0.0,8.3,11.8,96,67,74,13,222,75.0,1269,86,64
2024,NBA,Thomas Bryant,bryanth01,26,MIA,C,38,4,441,0.0,0.0,0.0,2.0,98.0,2.2,0.2,2,2,26,10,24,0.0,59,5,10
2024,NBA,Kobe Bufkin,bufkiko01,20,ATL,SG,17,0,196,62.0,38.0,0.0,0.0,0.0,-8.7,-6.8,7,0,11,0,4,0.0,58,2,7
2024,NBA,Reggie Bullock,bullore01,32,HOU,SF,44,0,417,7.0,35.0,47.0,11.0,0.0,-5.9,-7.9,9,0,12,1,1,0.0,33,1,2
2024,NBA,Alec Burks,burksal01,32,2TM,SG,66,1,1212,0.0,60.0,38.0,2.0,0.0,-10.2,-5.4,27,15,37,3,67,15.0,213,9,21
2024,NBA,Alec Burks,burksal01,32,DET,SG,43,0,901,0.0,53.0,44.0,3.0,0.0,-9.9,-1.4,18,9,32,3,50,12.0,164,6,11
2024,NBA,Alec Burks,burksal01,32,NYK,SG,23,1,311,0.0,80.0,20.0,0.0,0.0,-10.8,-16.8,9,6,5,0,17,3.0,49,3,10
2024,NBA,Jared Butler,butleja02,23,WAS,SG,40,0,566,95.0,5.0,0.0,0.0,0.0,-5.3,4.6,35,11,36,2,16,9.0,295,5,13
2024,NBA,Jimmy Butler,butleji01,34,MIA,PF,60,60,2042,0.0,0.0,25.0,74.0,0.0,5.5,7.1,56,31,30,10,205,5.0,768,46,63
2024,NBA,Jamal Cain,cainja01,24,MIA,PF,26,1,259,0.0,0.0,35.0,65.0,0.0,-4.3,-6.8,2,2,10,0,12,1.0,24,1,3
2024,NBA,Kentavious Caldwell-Pope,caldwke01,30,DEN,SG,76,76,2402,6.0,87.0,7.0,0.0,0.0,11.7,15.8,53,14,87,4,34,19.0,420,7,14
2024,NBA,Toumani Camara,camarto01,23,POR,PF,70,49,1739,0.0,0.0,0.0,84.0,16.0,-4.8,8.2,38,19,92,13,44,34.0,213,10,27
2024,NBA,Clint Capela,capelca01,29,ATL,C,73,73,1883,0.0,0.0,0.0,0.0,100.0,-0.6,3.1,24,23,86,16,108,17.0,227,22,69
2024,NBA,Jevon Carter,carteje01,28,CHI,PG,72,0,1004,100.0,0.0,0.0,0.0,0.0,1.6,4.0,19,6,27,4,2,4.0,222,1,6
2024,NBA,Wendell Carter Jr.,cartewe01,24,ORL,C,55,48,1406,0.0,0.0,0.0,5.0,95.0,1.9,0.1,18,17,67,22,56,10.0,225,12,23
2024,NBA,D.J. Carton,cartodj01,23,TOR,SG,4,0,36,61.0,32.0,8.0,0.0,0.0,-38.0,-31.8,1,0,0,0,2,0.0,8,1,0
2024,NBA,Alex Caruso,carusal01,29,CHI,SG,71,57,2040,17.0,78.0,5.0,0.0,0.0,0.3,3.4,72,24,82,2,37,42.0,558,5,25
2024,NBA,Colin Castleton,castlco01,23,LAL,C,16,0,59,0.0,0.0,0.0,0.0,100.0,-42.4,-43.4,2,0,6,1,1,0.0,6,0,2
2024,NBA,Malcolm Cazalon,cazalma01,22,DET,SG,1,0,3,0.0,0.0,0.0,100.0,0.0,63.3,72.2,0,0,0,0,0,0.0,0,0,0
2024,NBA,Justin Champagnie,champju01,22,WAS,SF,15,1,235,0.0,42.0,49.0,10.0,0.0,-13.1,-4.1,8,2,10,0,5,0.0,41,1,6
2024,NBA,Julian Champagnie,champju02,22,SAS,SF,74,59,1468,0.0,4.0,68.0,28.0,0.0,-4.0,3.7,31,10,46,3,42,5.0,242,6,20
2024,NBA,Max Christie,chrisma02,20,LAL,SG,67,7,944,10.0,74.0,17.0,0.0,0.0,-0.5,-1.2,26,5,33,4,19,1.0,152,2,21
2024,NBA,Sidy Cissoko,cissosi01,19,SAS,SF,12,0,141,0.0,0.0,63.0,37.0,0.0,9.1,16.0,0,2,7,0,8,0.0,26,1,2
2024,NBA,Brandon Clarke,clarkbr01,27,MEM,PF,6,1,134,0.0,13.0,46.0,36.0,5.0,-5.6,1.7,1,1,6,1,3,1.0,20,2,5
2024,NBA,Jordan Clarkson,clarkjo01,31,UTA,SG,55,19,1682,0.0,72.0,27.0,1.0,0.0,-5.7,-1.5,70,54,39,11,81,3.0,672,16,51
2024,NBA,Nic Claxton,claxtni01,24,BRK,C,71,71,2116,0.0,0.0,0.0,0.0,100.0,-5.7,-5.7,23,25,75,31,89,13.0,349,24,41
2024,NBA,Noah Clowney,clownno01,19,BRK,PF,23,4,370,0.0,0.0,31.0,44.0,25.0,-6.0,-3.4,5,7,15,2,13,1.0,46,4,8
2024,NBA,Amir Coffey,coffeam01,26,LAC,SF,70,13,1460,0.0,6.0,69.0,25.0,1.0,-2.8,-10.3,16,9,58,5,34,7.0,190,12,20
2024,NBA,John Collins,collijo01,26,UTA,PF,68,66,1901,0.0,0.0,17.0,70.0,13.0,-7.3,-4.7,36,32,122,15,87,14.0,185,23,73
2024,NBA,Zach Collins,colliza01,26,SAS,C,69,29,1526,0.0,0.0,0.0,27.0,73.0,-12.3,-9.6,63,28,132,28,69,8.0,442,20,39
2024,NBA,Mike Conley,conlemi01,36,MIN,PG,76,76,2193,100.0,0.0,0.0,0.0,0.0,5.4,-2.6,81,13,57,2,37,27.0,1049,9,15
2024,NBA,Pat Connaughton,connapa01,31,MIL,SF,76,3,1676,2.0,41.0,56.0,2.0,0.0,-1.2,-6.9,30,13,62,4,20,9.0,395,6,10
2024,NBA,Bilal Coulibaly,coulibi01,19,WAS,SF,63,15,1715,1.0,49.0,49.0,1.0,0.0,-11.8,-4.4,52,20,67,5,68,3.0,268,19,43
2024,NBA,Ricky Council IV,councri01,22,PHI,SG,32,0,289,0.0,27.0,59.0,14.0,0.0,2.8,-0.2,2,0,9,1,35,0.0,38,9,6
2024,NBA,Robert Covington,covinro01,33,2TM,PF,29,6,488,0.0,20.0,65.0,15.0,0.0,11.7,9.3,2,4,22,3,12,2.0,57,2,7
2024,NBA,Robert Covington,covinro01,33,LAC,PF,3,3,69,0.0,0.0,96.0,4.0,0.0,32.8,29.7,0,0,3,0,1,1.0,19,0,0
2024,NBA,Robert Covington,covinro01,33,PHI,SF,26,3,419,0.0,23.0,60.0,16.0,0.0,8.3,5.9,2,4,19,3,11,1.0,38,2,7
2024,NBA,Torrey Craig,craigto01,33,CHI,SF,53,14,1049,0.0,0.0,17.0,81.0,2.0,-7.2,-7.9,17,9,60,3,16,5.0,131,6,8
2024,NBA,Jae Crowder,crowdja01,33,MIL,PF,50,25,1156,0.0,0.0,67.0,32.0,1.0,-2.5,-7.5,13,5,39,3,11,7.0,164,1,8
2024,NBA,Jalen Crutcher,crutcja01,24,NOP,PG,1,0,3,100.0,0.0,0.0,0.0,0.0,50.0,45.4,0,0,0,0,0,0.0,0,0,0
2024,NBA,Cade Cunningham,cunnica01,22,DET,PG,62,62,2074,65.0,32.0,3.0,0.0,0.0,-8.1,1.6,126,59,81,13,109,6.0,1076,21,92
2024,NBA,Seth Curry,curryse01,33,2TM,SG,44,4,616,30.0,57.0,13.0,0.0,0.0,3.3,5.0,10,4,16,3,12,7.0,107,6,9
2024,NBA,Seth Curry,curryse01,33,DAL,SG,36,3,457,40.0,52.0,9.0,0.0,0.0,7.3,5.8,8,2,13,2,8,4.0,72,5,5
2024,NBA,Seth Curry,curryse01,33,CHO,SG,8,1,159,3.0,72.0,25.0,0.0,0.0,-8.0,2.7,2,2,3,1,4,3.0,35,1,4
2024,NBA,Stephen Curry,curryst01,35,GSW,PG,74,74,2421,75.0,25.0,0.0,0.0,0.0,2.5,-0.6,115,61,62,15,123,15.0,872,36,51
2024,NBA,Dyson Daniels,daniedy01,20,NOP,PG,61,16,1358,41.0,51.0,8.0,0.0,0.0,4.3,-0.5,31,16,51,4,23,5.0,384,3,14
2024,NBA,Anthony Davis,davisan02,30,LAL,C,76,76,2700,0.0,0.0,0.0,3.0,97.0,2.3,6.0,53,60,117,22,221,4.0,625,60,80
2024,NBA,JD Davison,davisjd01,21,BOS,SG,8,0,39,62.0,38.0,0.0,0.0,0.0,30.6,19.6,2,0,4,0,2,0.0,23,0,0
2024,NBA,Johnny Davis,davisjo06,21,WAS,SG,50,6,613,12.0,69.0,19.0,0.0,0.0,-10.8,-1.8,3,8,29,2,7,5.0,77,1,13
