season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2024,NBA,Darius Garland,garlada01,24,CLE,PG,57,57.0,1901,9.7,21.9,0.446,3.4,9.3,0.371,6.3,12.6,0.501,0.524,3.8,4.5,0.834,0.8,3.2,4.0,9.7,1.9,0.2,4.6,2.5,26.7,108.0,115.0
2024,NBA,Usman Garuba,garubus01,21,GSW,PF,6,0.0,18,2.7,16.1,0.167,0.0,2.7,0.0,2.7,13.4,0.2,0.167,2.7,5.4,0.5,8.1,10.8,18.8,2.7,2.7,8.1,5.4,5.4,8.1,65.0,101.0
2024,NBA,Luka Garza,garzalu01,25,MIN,C,25,0.0,122,14.6,30.4,0.48,3.6,13.0,0.281,10.9,17.4,0.628,0.54,7.3,10.1,0.72,7.7,4.9,12.6,1.6,1.6,0.4,2.4,9.7,40.1,117.0,111.0
2024,NBA,Kaiser Gates,gateska01,27,NOP,SF,1,0.0,7,0.0,28.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
2024,NBA,Keyonte George,georgke01,20,UTA,PG,75,44.0,2023,7.6,19.4,0.391,3.5,10.5,0.334,4.1,8.9,0.459,0.482,4.5,5.3,0.848,0.4,4.7,5.0,7.9,0.9,0.2,4.5,2.2,23.2,104.0,124.0
2024,NBA,Paul George,georgpa01,33,LAC,PF,74,74.0,2502,11.5,24.4,0.471,4.8,11.6,0.413,6.7,12.8,0.523,0.569,5.2,5.7,0.907,0.7,6.9,7.7,5.2,2.2,0.7,3.0,4.0,33.0,119.0,114.0
2024,NBA,Taj Gibson,gibsota01,38,2TM,PF,20,1.0,204,3.7,9.1,0.405,0.5,2.4,0.2,3.2,6.6,0.481,0.432,0.5,0.5,1.0,2.9,6.1,9.1,2.7,0.7,1.7,1.2,7.6,8.3,105.0,116.0
2024,NBA,Taj Gibson,gibsota01,38,NYK,PF,16,1.0,165,2.1,7.0,0.304,0.0,1.8,0.0,2.1,5.2,0.412,0.304,0.6,0.6,1.0,3.1,5.5,8.6,2.8,0.6,1.8,1.5,8.6,4.9,92.0,115.0
2024,NBA,Taj Gibson,gibsota01,38,DET,PF,4,0.0,39,9.9,17.3,0.571,2.5,4.9,0.5,7.4,12.3,0.6,0.643,0.0,0.0,,2.5,8.6,11.1,2.5,1.2,1.2,0.0,3.7,22.2,136.0,118.0
2024,NBA,Josh Giddey,giddejo01,21,OKC,SG,80,80.0,2011,9.6,20.3,0.475,2.0,5.8,0.337,7.7,14.4,0.53,0.523,2.4,3.0,0.806,2.7,9.6,12.3,9.2,1.2,1.1,4.0,2.7,23.6,111.0,112.0
