season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2023,nba,all_rookie,ORV,,Andrew Nembhard,nembhan01,23,46.0,200.0,0.23,0.0,46.0,
2023,nba,all_rookie,ORV,,Shaedon Sharpe,sharpsh01,19,36.0,200.0,0.18,0.0,36.0,
2023,nba,all_rookie,ORV,,AJ Griffin,griffaj01,19,26.0,200.0,0.13,0.0,26.0,
2023,nba,all_rookie,ORV,,Christian Braun,braunch01,21,12.0,200.0,0.06,0.0,12.0,
2023,nba,all_rookie,ORV,,Jaylin Williams,willija07,20,7.0,200.0,0.035,1.0,5.0,
2023,nba,all_rookie,ORV,,Jaden Hardy,hardyja02,20,4.0,200.0,0.02,0.0,4.0,
2023,nba,all_rookie,ORV,,Mark Williams,willima07,21,2.0,200.0,0.01,0.0,2.0,
2023,nba,all_rookie,ORV,,MarJon Beauchamp,beaucma01,22,1.0,200.0,0.005,0.0,1.0,
2023,nba,all_rookie,ORV,,Malaki Branham,branhma01,19,0.0,200.0,0.0,0.0,3.0,
2023,nba,all_rookie,ORV,,Dyson Daniels,daniedy01,19,0.0,200.0,0.0,0.0,2.0,
2022,nba,all_rookie,1st,,Scottie Barnes,barnesc01,20,200.0,200.0,1.0,100.0,0.0,
2022,nba,all_rookie,1st,,Cade Cunningham,cunnica01,20,200.0,200.0,1.0,100.0,0.0,
2022,nba,all_rookie,1st,,Evan Mobley,mobleev01,20,200.0,200.0,1.0,100.0,0.0,
2022,nba,all_rookie,1st,,Franz Wagner,wagnefr01,20,183.0,200.0,0.915,84.0,15.0,
2022,nba,all_rookie,1st,,Jalen Green,greenja05,19,158.0,200.0,0.79,58.0,42.0,
2022,nba,all_rookie,2nd,,Herbert Jones,joneshe01,23,123.0,200.0,0.615,32.0,59.0,
2022,nba,all_rookie,2nd,,Josh Giddey,giddejo01,19,122.0,200.0,0.61,24.0,74.0,
2022,nba,all_rookie,2nd,,Bones Hyland,hylanbo01,21,81.0,200.0,0.405,0.0,81.0,
2022,nba,all_rookie,2nd,,Ayo Dosunmu,dosunay01,22,75.0,200.0,0.375,2.0,71.0,
2022,nba,all_rookie,2nd,,Chris Duarte,duartch01,24,52.0,200.0,0.26,0.0,52.0,
2022,nba,all_rookie,ORV,,Jonathan Kuminga,kuminjo01,19,47.0,200.0,0.235,0.0,47.0,
2022,nba,all_rookie,ORV,,Davion Mitchell,mitchda01,23,28.0,200.0,0.14,0.0,28.0,
2022,nba,all_rookie,ORV,,Alperen Şengün,sengual01,19,13.0,200.0,0.065,0.0,13.0,
2022,nba,all_rookie,ORV,,Jalen Suggs,suggsja01,20,6.0,200.0,0.03,0.0,6.0,
2022,nba,all_rookie,ORV,,Ziaire Williams,willizi02,20,5.0,200.0,0.025,0.0,5.0,
2022,nba,all_rookie,ORV,,Jose Alvarado,alvarjo01,23,2.0,200.0,0.01,0.0,2.0,
2022,nba,all_rookie,ORV,,Austin Reaves,reaveau01,23,2.0,200.0,0.01,0.0,2.0,
2022,nba,all_rookie,ORV,,Josh Christopher,chrisjo01,20,1.0,200.0,0.005,0.0,1.0,
2022,nba,all_rookie,ORV,,Trey Murphy III,murphtr02,21,1.0,200.0,0.005,0.0,1.0,
2022,nba,all_rookie,ORV,,Cam Thomas,thomaca02,20,1.0,200.0,0.005,0.0,1.0,
2024,nba,all_defense,1st,C,Rudy Gobert,goberru01,31,198.0,198.0,1.0,,,
2024,nba,all_defense,1st,C,Victor Wembanyama,wembavi01,20,184.0,198.0,0.929,,,
2024,nba,all_defense,1st,C,Bam Adebayo,adebaba01,26,168.0,198.0,0.848,,,
2024,nba,all_defense,1st,F,Herbert Jones,joneshe01,25,159.0,198.0,0.803,,,
2024,nba,all_defense,1st,C,Anthony Davis,davisan02,30,151.0,198.0,0.763,,,
2024,nba,all_defense,2nd,G,Alex Caruso,carusal01,29,130.0,198.0,0.657,,,
2024,nba,all_defense,2nd,G,Jalen Suggs,suggsja01,22,99.0,198.0,0.5,,,
2024,nba,all_defense,2nd,G,Derrick White,whitede01,29,98.0,198.0,0.495,,,
2024,nba,all_defense,2nd,F,Jaden McDaniels,mcdanja02,23,66.0,198.0,0.333,,,
2024,nba,all_defense,2nd,G,Jrue Holiday,holidjr01,33,36.0,198.0,0.182,,,
2024,nba,all_defense,ORV,F,Luguentz Dort,dortlu01,24,34.0,198.0,0.172,,,
2024,nba,all_defense,ORV,F,Kawhi Leonard,leonaka01,32,29.0,198.0,0.146,,,
2024,nba,all_defense,ORV,C,Chet Holmgren,holmgch01,21,21.0,198.0,0.106,,,
2024,nba,all_defense,ORV,C,Jarrett Allen,allenja01,25,20.0,198.0,0.101,,,
2024,nba,all_defense,ORV,G,Shai Gilgeous-Alexander,gilgesh01,25,19.0,198.0,0.096,,,
2024,nba,all_defense,ORV,F,Giannis Antetokounmpo,antetgi01,29,15.0,198.0,0.076,,,
2024,nba,all_defense,ORV,G,Kentavious Caldwell-Pope,caldwke01,30,11.0,198.0,0.056,,,
2024,nba,all_defense,ORV,C,Brook Lopez,lopezbr01,35,8.0,198.0,0.04,,,
2024,nba,all_defense,ORV,F,Jaylen Brown,brownja02,27,7.0,198.0,0.035,,,
2024,nba,all_defense,ORV,F,Aaron Gordon,gordoaa01,28,6.0,198.0,0.03,,,
2024,nba,all_defense,ORV,G,Anthony Edwards,edwaran01,22,4.0,198.0,0.02,,,
2024,nba,all_defense,ORV,C,Domantas Sabonis,sabondo01,27,4.0,198.0,0.02,,,
2024,nba,all_defense,ORV,G,De'Aaron Fox,foxde01,26,3.0,198.0,0.015,,,
2024,nba,all_defense,ORV,F,Josh Hart,hartjo01,28,3.0,198.0,0.015,,,
2024,nba,all_defense,ORV,F,Dillon Brooks,brookdi01,28,2.0,198.0,0.01,,,
2024,nba,all_defense,ORV,F,Jayson Tatum,tatumja01,25,2.0,198.0,0.01,,,
2024,nba,all_defense,ORV,F,Kevin Durant,duranke01,35,1.0,198.0,0.005,,,
2024,nba,all_defense,ORV,F,Paul George,georgpa01,33,1.0,198.0,0.005,,,
2024,nba,all_defense,ORV,C,Jaren Jackson Jr.,jacksja02,24,1.0,198.0,0.005,,,
2024,nba,all_defense,ORV,G,Dejounte Murray,murrade01,27,1.0,198.0,0.005,,,
2024,nba,all_defense,ORV,F,Aaron Nesmith,nesmiaa01,24,1.0,198.0,0.005,,,
2024,nba,all_defense,ORV,G,Brandin Podziemski,podzibr01,20,1.0,198.0,0.005,,,
2024,nba,all_defense,ORV,F,Bobby Portis,portibo01,28,1.0,198.0,0.005,,,
