game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0042200164,00,1610612758,SAC,Sacramento,50,18,15,9,19,10,0,10,9,15,1610612744,GSW,Golden State,50,11,17,10,1,12,7,18
0042200104,00,1610612749,MIL,Milwaukee,54,16,13,15,5,2,0,14,7,24,1610612748,MIA,Miami,40,5,22,7,1,16,7,17
0042200154,00,1610612747,LAL,Los Angeles,54,12,16,15,13,8,0,15,14,16,1610612763,MEM,Memphis,58,24,16,7,0,13,11,17
0042200145,00,1610612750,MIN,Minnesota,58,13,10,15,13,10,0,14,8,18,1610612743,DEN,Denver,40,21,20,6,0,12,6,22
0042200175,00,1610612746,LAC,LA,50,34,10,10,20,13,0,10,9,20,1610612756,PHX,Phoenix,46,17,22,20,2,9,6,13
0042200165,00,1610612744,GSW,Golden State,60,18,12,12,5,2,1,15,8,14,1610612758,SAC,Sacramento,56,16,14,10,0,19,10,19
0042200105,00,1610612749,MIL,Milwaukee,48,13,9,16,11,8,1,16,20,24,1610612748,MIA,Miami,52,18,9,8,0,11,11,15
0042200155,00,1610612747,LAL,Los Angeles,48,18,19,2,2,4,0,13,8,8,1610612763,MEM,Memphis,56,17,17,25,0,11,4,10
0042200135,00,1610612739,CLE,Cleveland,34,3,8,0,0,3,0,13,5,12,1610612752,NYK,New York,44,20,20,18,4,14,14,13
0042200116,00,1610612737,ATL,Atlanta,50,24,4,7,22,15,0,10,6,8,1610612738,BOS,Boston,54,18,18,10,0,7,5,13
0042200166,00,1610612744,GSW,Golden State,36,8,9,2,8,5,0,18,18,23,1610612758,SAC,Sacramento,44,18,18,19,1,20,14,17
0042200156,00,1610612763,MEM,Memphis,32,9,14,4,1,1,0,14,9,19,1610612747,LAL,Los Angeles,52,20,24,40,3,16,11,19
0042200221,00,1610612756,PHX,Phoenix,60,12,23,3,19,4,0,16,3,18,1610612743,DEN,Denver,48,14,20,25,1,10,9,7
0042200201,00,1610612748,MIA,Miami,38,7,15,11,4,2,1,9,10,8,1610612752,NYK,New York,62,11,13,12,0,13,11,22
0042200167,00,1610612744,GSW,Golden State,42,24,0,24,10,7,0,7,16,5,1610612758,SAC,Sacramento,36,16,2,5,0,8,19,11
0042200222,00,1610612756,PHX,Phoenix,30,10,11,8,17,11,1,10,10,6,1610612743,DEN,Denver,48,6,7,12,3,13,10,7
0042200231,00,1610612744,GSW,Golden State,28,14,14,8,17,14,0,8,5,9,1610612747,LAL,Los Angeles,54,14,11,14,0,8,10,14
0042200202,00,1610612752,NYK,New York,34,16,5,8,16,13,1,11,13,22,1610612748,MIA,Miami,38,7,0,8,1,7,9,9
0042200212,00,1610612755,PHI,Philadelphia,34,14,14,2,3,4,2,13,7,11,1610612738,BOS,Boston,36,21,15,36,1,7,8,5
0042200232,00,1610612744,GSW,Golden State,48,13,17,32,8,5,1,16,10,12,1610612747,LAL,Los Angeles,42,8,7,7,0,9,9,14
0042200223,00,1610612756,PHX,Phoenix,50,6,23,16,18,5,0,9,8,7,1610612743,DEN,Denver,52,22,11,5,1,13,6,10
0042200213,00,1610612755,PHI,Philadelphia,28,7,7,3,5,5,1,14,7,15,1610612738,BOS,Boston,32,11,15,13,0,12,5,20
0042200233,00,1610612744,GSW,Golden State,44,15,4,11,4,1,0,19,13,27,1610612747,LAL,Los Angeles,46,11,11,34,1,13,8,14
0042200203,00,1610612748,MIA,Miami,50,18,13,22,0,0,1,14,18,9,1610612752,NYK,New York,36,14,9,0,0,13,8,16
0042200224,00,1610612756,PHX,Phoenix,46,7,20,10,16,12,0,13,2,14,1610612743,DEN,Denver,72,15,10,9,1,9,14,15
0042200234,00,1610612744,GSW,Golden State,52,8,17,12,14,10,0,16,5,13,1610612747,LAL,Los Angeles,46,12,14,5,0,14,9,20
0042200204,00,1610612748,MIA,Miami,46,17,9,11,4,2,1,13,10,15,1610612752,NYK,New York,50,7,7,1,1,17,7,22
0042200215,00,1610612738,BOS,Boston,36,14,5,3,2,3,0,8,10,13,1610612755,PHI,Philadelphia,38,13,15,21,4,13,7,12
0042200225,00,1610612743,DEN,Denver,50,5,31,24,2,1,0,10,5,11,1610612756,PHX,Phoenix,44,11,25,1,0,10,10,18
0042200205,00,1610612748,MIA,Miami,42,19,9,10,13,4,0,12,10,5,1610612752,NYK,New York,40,12,16,19,1,19,7,29
0042200235,00,1610612747,LAL,Los Angeles,52,10,15,3,9,6,0,14,3,20,1610612744,GSW,Golden State,50,18,13,18,2,16,5,20
0042200216,00,1610612755,PHI,Philadelphia,32,8,18,5,10,6,1,12,7,11,1610612738,BOS,Boston,36,7,24,16,1,18,6,18
0042200226,00,1610612743,DEN,Denver,62,18,19,32,8,3,1,11,11,17,1610612756,PHX,Phoenix,46,7,14,3,0,14,7,21
0042200236,00,1610612744,GSW,Golden State,44,18,8,0,0,1,1,11,7,10,1610612747,LAL,Los Angeles,46,11,22,24,1,7,9,10
0042200206,00,1610612748,MIA,Miami,38,8,6,9,9,4,0,7,14,7,1610612752,NYK,New York,20,7,6,14,0,12,4,10
0042200217,00,1610612738,BOS,Boston,44,6,6,30,11,8,1,8,11,11,1610612755,PHI,Philadelphia,44,13,11,9,2,14,11,14
0042200311,00,1610612747,LAL,Los Angeles,48,13,13,2,1,1,0,7,6,5,1610612743,DEN,Denver,50,18,19,21,0,11,4,14
0042200301,00,1610612738,BOS,Boston,62,18,15,13,18,14,0,15,9,22,1610612748,MIA,Miami,40,12,12,12,3,15,11,26
0042200312,00,1610612743,DEN,Denver,46,7,22,12,11,9,2,17,4,21,1610612747,LAL,Los Angeles,48,6,21,11,0,12,8,13
0042200302,00,1610612738,BOS,Boston,48,12,15,12,9,6,0,15,7,20,1610612748,MIA,Miami,48,16,4,8,1,11,9,17
0042200313,00,1610612747,LAL,Los Angeles,52,18,15,2,10,5,0,12,9,13,1610612743,DEN,Denver,38,9,19,14,1,6,9,8
0042200303,00,1610612738,BOS,Boston,52,19,13,3,2,4,0,15,2,18,1610612748,MIA,Miami,42,4,13,33,1,10,8,16
0042200314,00,1610612747,LAL,Los Angeles,62,16,11,15,1,7,0,6,12,7,1610612743,DEN,Denver,48,15,9,7,3,11,6,17
0042200304,00,1610612748,MIA,Miami,46,17,10,9,8,5,1,16,6,27,1610612738,BOS,Boston,40,15,18,18,0,10,7,14
0042200305,00,1610612738,BOS,Boston,42,17,12,24,0,2,1,10,6,19,1610612748,MIA,Miami,52,7,16,0,0,16,5,27
0042200307,00,1610612748,MIA,Miami,38,16,17,23,1,0,2,14,11,21,1610612738,BOS,Boston,42,13,8,5,0,15,4,19
0042200401,00,1610612748,MIA,Miami,38,8,4,1,4,2,0,8,5,13,1610612743,DEN,Denver,46,7,9,24,0,10,7,9
0042200402,00,1610612743,DEN,Denver,50,15,18,15,4,3,1,14,8,19,1610612748,MIA,Miami,34,11,5,12,0,11,4,23
0042200403,00,1610612748,MIA,Miami,34,7,11,5,7,7,0,4,8,8,1610612743,DEN,Denver,60,14,11,21,1,14,7,17
0042200404,00,1610612743,DEN,Denver,48,6,12,17,3,6,2,8,11,8,1610612748,MIA,Miami,46,9,14,3,1,15,9,17
