season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2024,NBA,Oshae Brissett,brissos01,25.0,BOS,SF,55,1.0,630,3.9,8.7,0.444,0.9,3.1,0.273,3.0,5.6,0.541,0.493,2.9,4.7,0.602,3.5,5.7,9.1,2.5,1.1,0.5,1.1,3.1,11.5
2024,NBA,Izaiah Brockington,brockiz01,24.0,NOP,PG,1,0.0,3,24.0,60.0,0.4,0.0,12.0,0.0,24.0,48.0,0.5,0.4,0.0,0.0,,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,48.0
2024,NBA,Malcolm Brogdon,brogdma01,31.0,POR,PG,39,25.0,1121,7.0,15.9,0.44,2.6,6.4,0.412,4.4,9.5,0.458,0.522,3.1,3.7,0.819,0.9,3.9,4.8,6.9,0.9,0.3,1.9,1.9,19.7
2024,NBA,Armoni Brooks,brookar01,25.0,BRK,PG,10,0.0,104,5.2,15.9,0.326,3.8,11.1,0.344,1.4,4.8,0.286,0.446,0.3,0.7,0.5,2.4,3.8,6.2,1.7,0.3,0.3,1.0,1.0,14.5
2024,NBA,Dillon Brooks,brookdi01,28.0,HOU,SF,72,72.0,2227,5.3,12.4,0.428,2.1,6.0,0.359,3.2,6.4,0.492,0.515,2.0,2.4,0.844,0.9,3.1,4.0,1.9,1.0,0.2,1.4,3.9,14.8
2024,NBA,Bruce Brown,brownbr01,27.0,2TM,SG,67,44.0,1866,5.4,11.2,0.478,1.0,3.2,0.323,4.3,8.1,0.538,0.523,2.3,2.7,0.824,1.0,4.5,5.5,3.7,1.1,0.3,1.7,2.9,14.0
2024,NBA,Bruce Brown,brownbr01,27.0,IND,SG,33,33.0,981,5.5,11.5,0.475,1.2,3.7,0.327,4.3,7.8,0.545,0.527,2.5,3.0,0.817,0.9,4.7,5.7,3.7,1.3,0.3,1.5,3.0,14.6
2024,NBA,Bruce Brown,brownbr01,27.0,TOR,PG,34,11.0,885,5.2,10.9,0.481,0.8,2.6,0.317,4.4,8.3,0.532,0.519,2.0,2.4,0.833,1.1,4.1,5.3,3.7,1.0,0.4,1.8,2.7,13.3
2024,NBA,Charlie Brown Jr.,brownch02,26.0,NYK,SG,8,0.0,37,1.9,9.7,0.2,1.9,6.8,0.286,0.0,2.9,0.0,0.3,0.0,0.0,,1.0,1.0,1.9,0.0,0.0,1.9,1.9,4.9,5.8
2024,NBA,Greg Brown III,browngr01,22.0,DAL,PF,6,0.0,40,4.5,9.9,0.455,0.9,2.7,0.333,3.6,7.2,0.5,0.5,3.6,8.1,0.444,2.7,5.4,8.1,3.6,0.0,3.6,3.6,4.5,13.5
2024,NBA,Jaylen Brown,brownja02,27.0,BOS,SF,70,70.0,2343,9.6,19.3,0.499,2.2,6.3,0.354,7.4,13.0,0.57,0.557,3.2,4.6,0.703,1.3,4.7,5.9,3.8,1.3,0.6,2.6,2.8,24.7
2024,NBA,Kendall Brown,brownke03,20.0,IND,SG,15,0.0,63,4.6,8.6,0.533,0.0,1.1,0.0,4.6,7.4,0.615,0.533,2.9,4.6,0.625,1.7,1.1,2.9,2.9,0.0,0.0,1.1,5.1,12.0
2024,NBA,Kobe Brown,brownko01,24.0,LAC,PF,44,0.0,394,3.4,8.2,0.411,1.3,4.4,0.292,2.1,3.8,0.548,0.489,0.1,0.2,0.5,1.8,3.8,5.7,2.3,1.1,0.5,0.8,4.5,8.1
2024,NBA,Moses Brown,brownmo01,24.0,POR,C,22,5.0,200,5.9,11.7,0.508,0.0,0.0,,5.9,11.7,0.508,0.508,1.6,5.6,0.29,6.7,8.8,15.5,1.3,0.9,1.3,2.0,4.9,13.5
2024,NBA,Troy Brown Jr.,browntr01,24.0,2TM,SF,59,15.0,827,3.7,9.8,0.372,2.0,6.1,0.333,1.6,3.7,0.435,0.476,1.4,1.6,0.865,1.1,5.2,6.3,2.6,1.0,0.1,1.3,1.8,10.8
2024,NBA,Troy Brown Jr.,browntr01,24.0,MIN,SF,37,3.0,410,4.6,10.4,0.441,2.7,7.4,0.369,1.8,3.0,0.618,0.572,1.7,1.9,0.864,1.2,5.1,6.3,3.1,0.7,0.2,1.6,2.3,13.5
2024,NBA,Troy Brown Jr.,browntr01,24.0,DET,SF,22,12.0,417,2.8,9.3,0.296,1.4,4.9,0.281,1.4,4.4,0.314,0.37,1.1,1.3,0.867,0.9,5.3,6.2,2.2,1.4,0.1,1.0,1.4,8.0
2024,NBA,Jalen Brunson,brunsja01,27.0,NYK,PG,77,77.0,2726,10.4,21.8,0.479,2.8,6.9,0.401,7.6,14.8,0.516,0.543,5.6,6.6,0.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2
2024,NBA,Thomas Bryant,bryanth01,26.0,MIA,C,38,4.0,441,7.0,12.2,0.577,0.3,1.8,0.182,6.7,10.4,0.646,0.591,3.3,3.8,0.872,3.3,8.2,11.5,1.9,0.8,1.3,1.7,3.8,17.7
2024,NBA,Kobe Bufkin,bufkiko01,20.0,ATL,SG,17,0.0,196,6.2,16.9,0.37,1.7,7.3,0.225,4.6,9.6,0.481,0.418,0.7,1.5,0.5,1.1,5.0,6.1,5.0,1.3,0.9,1.8,3.7,14.9
2024,NBA,Reggie Bullock,bullore01,32.0,HOU,SF,44,0.0,417,2.9,7.1,0.415,2.3,5.8,0.403,0.6,1.3,0.467,0.579,0.1,0.1,1.0,0.5,5.8,6.3,1.3,1.0,0.4,0.9,2.5,8.3
2024,NBA,Alec Burks,burksal01,32.0,2TM,SG,66,1.0,1212,6.2,16.9,0.369,3.7,9.8,0.376,2.6,7.1,0.36,0.478,4.3,5.0,0.868,0.7,3.7,4.5,2.6,0.8,0.4,1.4,2.2,20.5
2024,NBA,Alec Burks,burksal01,32.0,DET,SG,43,0.0,901,6.4,16.2,0.394,4.0,9.9,0.401,2.4,6.4,0.384,0.516,4.8,5.4,0.903,0.6,3.8,4.4,2.7,0.8,0.4,1.3,2.6,21.6
2024,NBA,Alec Burks,burksal01,32.0,NYK,SG,23,1.0,311,5.8,18.9,0.307,2.9,9.6,0.301,2.9,9.3,0.313,0.383,2.8,3.8,0.727,0.9,3.7,4.6,2.3,0.8,0.1,1.9,1.3,17.2
2024,NBA,Jared Butler,butleja02,23.0,WAS,SG,40,0.0,566,6.2,12.8,0.488,1.5,5.0,0.308,4.7,7.8,0.602,0.547,2.0,2.3,0.861,0.6,3.1,3.7,8.0,1.8,0.5,3.2,3.7,16.0
